user_id,positive_video_id,category_id,random_negative,popular_negative,same_category_negative,in_batch_negative_note
u_0059,v_00169,c_09,v_00104,v_00068,v_00114,other items in the same mini-batch can be reused as negatives
u_0070,v_00178,c_11,v_00174,v_00068,v_00219,other items in the same mini-batch can be reused as negatives
u_0008,v_00052,c_12,v_00080,v_00068,v_00020,other items in the same mini-batch can be reused as negatives
u_0070,v_00009,c_12,v_00126,v_00068,v_00180,other items in the same mini-batch can be reused as negatives
u_0010,v_00048,c_03,v_00058,v_00068,v_00151,other items in the same mini-batch can be reused as negatives
u_0004,v_00118,c_02,v_00076,v_00068,v_00092,other items in the same mini-batch can be reused as negatives
u_0051,v_00211,c_05,v_00237,v_00068,v_00068,other items in the same mini-batch can be reused as negatives
u_0048,v_00003,c_09,v_00091,v_00068,v_00072,other items in the same mini-batch can be reused as negatives
u_0073,v_00094,c_12,v_00129,v_00068,v_00129,other items in the same mini-batch can be reused as negatives
u_0044,v_00237,c_04,v_00085,v_00068,v_00108,other items in the same mini-batch can be reused as negatives
u_0067,v_00074,c_08,v_00236,v_00068,v_00104,other items in the same mini-batch can be reused as negatives
u_0046,v_00040,c_09,v_00141,v_00068,v_00123,other items in the same mini-batch can be reused as negatives
